transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
i have hunted along this ridge replied philip,data/l2arctic/YDCK/wav/arctic_b0116.wav,YDCK,Korean,F,i have hunted along this reach replied phillip
thats thorpes said the young engineer,data/l2arctic/YDCK/wav/arctic_b0117.wav,YDCK,Korean,F,das throrps sait the young engineer
we saw your light and thought you wouldnt mind a call,data/l2arctic/YDCK/wav/arctic_b0118.wav,YDCK,Korean,F,we soul your light and thoat you uden mind a call
billinger may arrive in time,data/l2arctic/YDCK/wav/arctic_b0119.wav,YDCK,Korean,F,thelingeor may arrive in time
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/YDCK/wav/arctic_b0120.wav,YDCK,Korean,F,theres the heich replied thorpe rolling a segarete
i want my men to work by themselves,data/l2arctic/YDCK/wav/arctic_b0121.wav,YDCK,Korean,F,i wame my man to work by themselves
neither could they understand the growing disaffection among thorpes men,data/l2arctic/YDCK/wav/arctic_b0123.wav,YDCK,Korean,F,neither could they understand the grawing disaffection among thorb's men
two weeks passed and in that time thorpe left camp three times,data/l2arctic/YDCK/wav/arctic_b0124.wav,YDCK,Korean,F,to vi's past and in that time thorflapped camp three times
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/YDCK/wav/arctic_b0125.wav,YDCK,Korean,F,it was dessert or fource time that philip had heard madagl sware
blood was oozing slowly from the wounded mans right breast,data/l2arctic/YDCK/wav/arctic_b0126.wav,YDCK,Korean,F,blood was oosing slowly from the ounded mean's right breast
he destroyed everything that had belonged to the woman,data/l2arctic/YDCK/wav/arctic_b0127.wav,YDCK,Korean,F,he destroyed everything that had belonged to the woman
philip bent low over pierre,data/l2arctic/YDCK/wav/arctic_b0128.wav,YDCK,Korean,F,villip bent low overpeer
did thorpe go to see any one in churchill,data/l2arctic/YDCK/wav/arctic_b0129.wav,YDCK,Korean,F,it thorp godo see any one in church heil
she saw the answer in his face,data/l2arctic/YDCK/wav/arctic_b0130.wav,YDCK,Korean,F,she saw the answerer in his face
thorpe and his men were to destroy this camp and kill you,data/l2arctic/YDCK/wav/arctic_b0131.wav,YDCK,Korean,F,thorf and his man were to destroy his camp and kill you
there is no need of further detail now for you can understand,data/l2arctic/YDCK/wav/arctic_b0132.wav,YDCK,Korean,F,thereis no need of further detail now for you can understand
there followed a roar that shook the earth,data/l2arctic/YDCK/wav/arctic_b0133.wav,YDCK,Korean,F,there followed a roar desup the earth
blind with rage he darted in,data/l2arctic/YDCK/wav/arctic_b0134.wav,YDCK,Korean,F,blind with rach he darted in
in it was the joy of life,data/l2arctic/YDCK/wav/arctic_b0135.wav,YDCK,Korean,F,enit was the joy of life
swiftly his eyes measured the situation,data/l2arctic/YDCK/wav/arctic_b0136.wav,YDCK,Korean,F,swiptly his eyes measurite decetration
but this little defect did not worry him,data/l2arctic/YDCK/wav/arctic_b0137.wav,YDCK,Korean,F,but this little defact did not orry him
and then steadily he began to chew,data/l2arctic/YDCK/wav/arctic_b0138.wav,YDCK,Korean,F,and then steadily he began to choo
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/YDCK/wav/arctic_b0140.wav,YDCK,Korean,F,they adchet nearer and stood shoulder to shouder facing their word
it was beating and waiting in the ambush of those black pits,data/l2arctic/YDCK/wav/arctic_b0141.wav,YDCK,Korean,F,it was beating and waiting in the ambish of dose black peits
something vastly more thrilling had come into it now,data/l2arctic/YDCK/wav/arctic_b0142.wav,YDCK,Korean,F,something fastly more thrulling had come into it now
it took him half an hour to reach the edge of it,data/l2arctic/YDCK/wav/arctic_b0143.wav,YDCK,Korean,F,it took him half an hour to reach the etch of it
but there was no longer the mother yearning in his heart,data/l2arctic/YDCK/wav/arctic_b0144.wav,YDCK,Korean,F,but there was no longer the mother yurning in his heart
besides had he not whipped the big owl in the forest,data/l2arctic/YDCK/wav/arctic_b0145.wav,YDCK,Korean,F,besides had it not whipped the beak oul in the forist
after all it was simply a mistake in judgment,data/l2arctic/YDCK/wav/arctic_b0146.wav,YDCK,Korean,F,after all it was simply a mistake in judgment
had it struck squarely it would have killed him,data/l2arctic/YDCK/wav/arctic_b0147.wav,YDCK,Korean,F,had it stuc scrarly it did have killed him
the indian even poked his stick into the thick ground spruce,data/l2arctic/YDCK/wav/arctic_b0148.wav,YDCK,Korean,F,the indian even poked his stake into the thick ground spruse
pebbles and dirt flew along with hair and fur,data/l2arctic/YDCK/wav/arctic_b0149.wav,YDCK,Korean,F,pabbels and dirt flew along wit hair and fourrer
and he was filled with a strange and foreboding fear,data/l2arctic/YDCK/wav/arctic_b0150.wav,YDCK,Korean,F,and he was filled awih a strange and for bodding fear
it was steel a fisher trap,data/l2arctic/YDCK/wav/arctic_b0151.wav,YDCK,Korean,F,it was steall of fiture trap
ow a wild dog he growled,data/l2arctic/YDCK/wav/arctic_b0152.wav,YDCK,Korean,F,ow a while doc he growled
he was a pariah a wanderer without a friend or a home,data/l2arctic/YDCK/wav/arctic_b0153.wav,YDCK,Korean,F,he was a parier a wonderer redout a friend or a home
that is the strange part of it,data/l2arctic/YDCK/wav/arctic_b0154.wav,YDCK,Korean,F,that is the strange potivate
his freshly caught furs he flung to the floor,data/l2arctic/YDCK/wav/arctic_b0155.wav,YDCK,Korean,F,his freshly caugt fers he flung to the floor
in the crib the baby sat up and began to prattle,data/l2arctic/YDCK/wav/arctic_b0157.wav,YDCK,Korean,F,in the creep the baby sat up and begin to praddle
she obeyed shrinking back with the baby in her arms,data/l2arctic/YDCK/wav/arctic_b0158.wav,YDCK,Korean,F,she abeyed shrinking back with the baby in her arms
his teeth shut with a last click,data/l2arctic/YDCK/wav/arctic_b0159.wav,YDCK,Korean,F,his teeth shallt we e last click
it was over when he made his way through the ring of spectators,data/l2arctic/YDCK/wav/arctic_b0160.wav,YDCK,Korean,F,it was over when he made his way through the ring obspect tators
in a flash he was on his feet facing him,data/l2arctic/YDCK/wav/arctic_b0161.wav,YDCK,Korean,F,in a flesh he was on his fit facing him
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/YDCK/wav/arctic_b0162.wav,YDCK,Korean,F,he thought hesaw a shuddow pass throughd of fectors shorders
the moon had already begun its westward decline,data/l2arctic/YDCK/wav/arctic_b0163.wav,YDCK,Korean,F,the moon had already begun is wester word tdecline
they laughed like two happy children,data/l2arctic/YDCK/wav/arctic_b0164.wav,YDCK,Korean,F,they lept like two happy children
he pulled and the log crashed down to break his back,data/l2arctic/YDCK/wav/arctic_b0165.wav,YDCK,Korean,F,he pulled and the lock crushet down to break his back
fast but endure,data/l2arctic/YDCK/wav/arctic_b0166.wav,YDCK,Korean,F,fast but endure
a little before dawn of the day following the fire relief came,data/l2arctic/YDCK/wav/arctic_b0167.wav,YDCK,Korean,F,a little before it gone up tho day following the fire relife came
the indian felt the worship of her warm in his heart,data/l2arctic/YDCK/wav/arctic_b0168.wav,YDCK,Korean,F,the indian felt the worship of her wame in his heart
he drew in a deep breath as he looked at them,data/l2arctic/YDCK/wav/arctic_b0169.wav,YDCK,Korean,F,he drew in a deep brath as he looked at them
then he shouted shut up,data/l2arctic/YDCK/wav/arctic_b0170.wav,YDCK,Korean,F,thenhe shouted shat up
he changed his seat for a steamer reclining chair,data/l2arctic/YDCK/wav/arctic_b0171.wav,YDCK,Korean,F,he changed it his sit for a steamer reclining chair
on the far corner of the compound fence a hawk brooded,data/l2arctic/YDCK/wav/arctic_b0172.wav,YDCK,Korean,F,on the far corner of the compound fance or hawk brut
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/YDCK/wav/arctic_b0174.wav,YDCK,Korean,F,hatred and morter and loss for revenge they pagessed to overflowing
sheldon glanced at the thermometer,data/l2arctic/YDCK/wav/arctic_b0175.wav,YDCK,Korean,F,cheldon glanced at desemomitor
ill see to poor hughie,data/l2arctic/YDCK/wav/arctic_b0176.wav,YDCK,Korean,F,i will see to poor huse
her gray eyes were flashing and her lips were quivering,data/l2arctic/YDCK/wav/arctic_b0177.wav,YDCK,Korean,F,her grey eyes were flushing and her lips wor hivering
also i want information,data/l2arctic/YDCK/wav/arctic_b0178.wav,YDCK,Korean,F,also i wone information
let them go out and eat with my boys,data/l2arctic/YDCK/wav/arctic_b0179.wav,YDCK,Korean,F,let them go out and it wit my boys
i i beg pardon he drawled,data/l2arctic/YDCK/wav/arctic_b0180.wav,YDCK,Korean,F,i i back pardon he drolled
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/YDCK/wav/arctic_b0181.wav,YDCK,Korean,F,an neu preferred a cannibl ale and a catrots belt
i was in new york when the crash came,data/l2arctic/YDCK/wav/arctic_b0182.wav,YDCK,Korean,F,i was in new york when the crush came
no i did not fall among thieves,data/l2arctic/YDCK/wav/arctic_b0183.wav,YDCK,Korean,F,know i did not fall among theeves
such things in her brain were like so many oaths on her lips,data/l2arctic/YDCK/wav/arctic_b0184.wav,YDCK,Korean,F,such things in her brain were like so many oath on her lips
your being wrecked here has been a godsend to me,data/l2arctic/YDCK/wav/arctic_b0185.wav,YDCK,Korean,F,your being rect here has been a gods sent to me
i cant go elsewhere by your own account,data/l2arctic/YDCK/wav/arctic_b0186.wav,YDCK,Korean,F,i can't go elthwhere by your own account
her achievements with cocoanuts were a revelation,data/l2arctic/YDCK/wav/arctic_b0187.wav,YDCK,Korean,F,her atreatments which coconetts were a rebelation
he glanced down at her helplessly and moistened his lips,data/l2arctic/YDCK/wav/arctic_b0188.wav,YDCK,Korean,F,he glanced down at her helplessly and moustent his lips
that is what distinguishes all of us from the lower animals,data/l2arctic/YDCK/wav/arctic_b0189.wav,YDCK,Korean,F,that is what distinguishes all of us from the lor enimals
he also contended that better confidence was established by carrying no weapons,data/l2arctic/YDCK/wav/arctic_b0191.wav,YDCK,Korean,F,he also contented that better confidence was established by carrying no weapons
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/YDCK/wav/arctic_b0192.wav,YDCK,Korean,F,ousiders are alowed five minutes piches the sick men urget
so was packards finish suicide,data/l2arctic/YDCK/wav/arctic_b0193.wav,YDCK,Korean,F,so was peckers finish soaside
joan cried with shining eyes,data/l2arctic/YDCK/wav/arctic_b0194.wav,YDCK,Korean,F,juen cried to wit shining eyes
nobody knows how the natives got them,data/l2arctic/YDCK/wav/arctic_b0195.wav,YDCK,Korean,F,nobody knows how de natives cut them
how can you manage all alone mister young,data/l2arctic/YDCK/wav/arctic_b0196.wav,YDCK,Korean,F,how can you manise all alone mister young
the planters are already considering the matter,data/l2arctic/YDCK/wav/arctic_b0197.wav,YDCK,Korean,F,the planters out ready conseidering the matter
i use great trouble advisedly,data/l2arctic/YDCK/wav/arctic_b0198.wav,YDCK,Korean,F,ause great troball advisedily
dear sir your second victim has fallen on schedule time,data/l2arctic/YDCK/wav/arctic_b0199.wav,YDCK,Korean,F,dear sor your second victim has follen on scesold time
we leave the eventuality to time and law,data/l2arctic/YDCK/wav/arctic_b0200.wav,YDCK,Korean,F,relieved the eventurality to time and law
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/YDCK/wav/arctic_b0201.wav,YDCK,Korean,F,i orse understand a similar brench or gonegations have made their aperiance in europe
society is shaken to its foundations,data/l2arctic/YDCK/wav/arctic_b0202.wav,YDCK,Korean,F,society is shaken to is foundations
a month in australia would finish me,data/l2arctic/YDCK/wav/arctic_b0203.wav,YDCK,Korean,F,a month in asralia woud finish me
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/YDCK/wav/arctic_b0204.wav,YDCK,Korean,F,down through the perfume waited air flurtered the snowwy flops of the codon oots
you were destroying my life,data/l2arctic/YDCK/wav/arctic_b0205.wav,YDCK,Korean,F,your desring my life
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/YDCK/wav/arctic_b0206.wav,YDCK,Korean,F,rurses and rebolls had been her toys camp and trail her nursery
you read the quotations in todays paper,data/l2arctic/YDCK/wav/arctic_b0208.wav,YDCK,Korean,F,you read the cutations into day's paper
hes terribly touchy about his black wards as he calls them,data/l2arctic/YDCK/wav/arctic_b0209.wav,YDCK,Korean,F,his terribly touchabod his blek words as he called stem
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/YDCK/wav/arctic_b0210.wav,YDCK,Korean,F,whatever he guessed he lucked away inte tabe room of nowme
this is eighteen eighty,data/l2arctic/YDCK/wav/arctic_b0211.wav,YDCK,Korean,F,disis eighteen eighty
death is and has been ever since old maui died,data/l2arctic/YDCK/wav/arctic_b0212.wav,YDCK,Korean,F,thats is and has been ever since old mouidied
some boy she laughed acquiescence,data/l2arctic/YDCK/wav/arctic_b0213.wav,YDCK,Korean,F,some boy she lebet of cueesence
let us talk it over and find a way out,data/l2arctic/YDCK/wav/arctic_b0214.wav,YDCK,Korean,F,let us talk it over and fine a way out
it is a good property and worth more than that,data/l2arctic/YDCK/wav/arctic_b0215.wav,YDCK,Korean,F,it is a good property and warlth more than that
i wish you were more adaptable joan retorted,data/l2arctic/YDCK/wav/arctic_b0216.wav,YDCK,Korean,F,i wish you are more adaptable drowin retort it
such is my passage engaged on the steamer,data/l2arctic/YDCK/wav/arctic_b0217.wav,YDCK,Korean,F,such as my passage engaged on thus reamour
the issue was not in doubt,data/l2arctic/YDCK/wav/arctic_b0218.wav,YDCK,Korean,F,the issue was not indoubt
well there are better men in hawaii thats all,data/l2arctic/YDCK/wav/arctic_b0219.wav,YDCK,Korean,F,well there are better man in hoi desall
harry bancroft dave lied,data/l2arctic/YDCK/wav/arctic_b0220.wav,YDCK,Korean,F,harry bandcroft dave lid
its a yankee joan cried,data/l2arctic/YDCK/wav/arctic_b0221.wav,YDCK,Korean,F,ittar yainqi joyin chrit
he was the leader and tudor was his lieutenant,data/l2arctic/YDCK/wav/arctic_b0222.wav,YDCK,Korean,F,he was the leader and tuder was his lutinent
they likewise are disinclined to being eaten,data/l2arctic/YDCK/wav/arctic_b0223.wav,YDCK,Korean,F,they likewise our disecinclined to being aden
