transcription,path_to_audio,speaker_id,native_language,gender,whisper_small_transcriptions
the lines were now very taut,data/l2arctic/TNI/wav/arctic_a0498.wav,TNI,Hindi,F,the lines were now very taut.!
and right there i saw and knew it all,data/l2arctic/TNI/wav/arctic_a0499.wav,TNI,Hindi,F,and right here i saw and knew it all.!
who the devil gave it to you to be judge and jury,data/l2arctic/TNI/wav/arctic_a0500.wav,TNI,Hindi,F,who they will give it to you to be judge and jury.!
youre joking me sir the other managed to articulate,data/l2arctic/TNI/wav/arctic_a0501.wav,TNI,Hindi,F,"you are joking me, sir. the other managed to articulate."
anything unusual or abnormal was sufficient to send a fellow to molokai,data/l2arctic/TNI/wav/arctic_a0502.wav,TNI,Hindi,F,anything unusual or abnormal was sufficient to send a fellow to molochoi.
his beady black eyes saw bargains where other men saw bankruptcy,data/l2arctic/TNI/wav/arctic_a0503.wav,TNI,Hindi,F,his beady black eyes saw bargains where other men saw bankruptcy.
he was an athlete and a giant,data/l2arctic/TNI/wav/arctic_a0504.wav,TNI,Hindi,F,he was an athlete and a giant.
we fished sharks on niihau together,data/l2arctic/TNI/wav/arctic_a0505.wav,TNI,Hindi,F,we fit shacks on the knee-hole together.
the claudine was leaving next morning for honolulu,data/l2arctic/TNI/wav/arctic_a0506.wav,TNI,Hindi,F,the claudine was leaving next morning for honolulu.
in short my joyous individualism was dominated by the orthodox bourgeois ethics,data/l2arctic/TNI/wav/arctic_a0507.wav,TNI,Hindi,F,"in short, my joyous individualism was dominated by the orthodox burgios thicks."
soon shall it be thrust back from off prostrate humanity,data/l2arctic/TNI/wav/arctic_a0508.wav,TNI,Hindi,F,soon shall it beat us back from off prostrate humanity.
yet in accordance with ernests test of truth it work,data/l2arctic/TNI/wav/arctic_a0509.wav,TNI,Hindi,F,"yet in accordance with earnest, test of truth it work."
there is more behind this than a mere university ideal,data/l2arctic/TNI/wav/arctic_a0511.wav,TNI,Hindi,F,there is more behind this than a mere university ideal.
no it is a palace wherein there are many servants,data/l2arctic/TNI/wav/arctic_a0512.wav,TNI,Hindi,F,"no, it is a palace wherein there are many servants."
we must give ourselves and not our money alone,data/l2arctic/TNI/wav/arctic_a0513.wav,TNI,Hindi,F,we must give ourselves and not our money alone.
we are consumed in our own flesh pots,data/l2arctic/TNI/wav/arctic_a0514.wav,TNI,Hindi,F,we are consumed in our own flashports.
but here amongst ourselves let us speak out,data/l2arctic/TNI/wav/arctic_a0515.wav,TNI,Hindi,F,but here amongst ourselves let us speak out.
also there was awe in their faces,data/l2arctic/TNI/wav/arctic_a0516.wav,TNI,Hindi,F,"also, there was an awe in their faces."
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/TNI/wav/arctic_a0517.wav,TNI,Hindi,F,"out of abstractions, ernest had congealed a vision and made them see it."
illuminating oil was becoming all profit,data/l2arctic/TNI/wav/arctic_a0518.wav,TNI,Hindi,F,illuminating oil was becoming all profit.
such an act was in direct violation of the laws of the land,data/l2arctic/TNI/wav/arctic_a0519.wav,TNI,Hindi,F,such an act was in direct violation of the laws of the land.
he was fond of quoting a fragment from a certain poem,data/l2arctic/TNI/wav/arctic_a0520.wav,TNI,Hindi,F,he was fond of quoting a fragment from a certain poem.
without them he could not run his empire,data/l2arctic/TNI/wav/arctic_a0521.wav,TNI,Hindi,F,"without them, he could not run his empire."
for such countries nothing remained but reorganization,data/l2arctic/TNI/wav/arctic_a0522.wav,TNI,Hindi,F,"for such countries, nothing remained but reorganization."
they could not continue their method of producing surpluses,data/l2arctic/TNI/wav/arctic_a0523.wav,TNI,Hindi,F,they could not continue the method of producing surpluses.
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/TNI/wav/arctic_a0524.wav,TNI,Hindi,F,at once would be instituted a dozen cooperative commonwealth states.
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/TNI/wav/arctic_a0525.wav,TNI,Hindi,F,the oligarch you wanted violence and it set its agent provocateurs to work.
nowhere did the raw earth appear,data/l2arctic/TNI/wav/arctic_a0526.wav,TNI,Hindi,F,nowhere did the raw earth appear.
men who endure it call it living death,data/l2arctic/TNI/wav/arctic_a0528.wav,TNI,Hindi,F,men who endure it call it living death.
as i say he had tapped the message very rapidly,data/l2arctic/TNI/wav/arctic_a0529.wav,TNI,Hindi,F,"as i say, he had tapped the message very rapidly."
ask him i laughed then turned to pasquini,data/l2arctic/TNI/wav/arctic_a0530.wav,TNI,Hindi,F,ask him i laughed then turn to pascuny.
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/TNI/wav/arctic_a0531.wav,TNI,Hindi,F,in what bucolic school of fence he had been taught was beyond imagining.
may drought destroy your crops,data/l2arctic/TNI/wav/arctic_a0532.wav,TNI,Hindi,F,may draw destroy your crops
dunham can your boy go along with jesse,data/l2arctic/TNI/wav/arctic_a0533.wav,TNI,Hindi,F,"done, huh? can your boy go along with jesse?"
but johannes could and did,data/l2arctic/TNI/wav/arctic_a0534.wav,TNI,Hindi,F,but johans could and did.
a new preacher and a new doctrine come to jerusalem,data/l2arctic/TNI/wav/arctic_a0535.wav,TNI,Hindi,F,a new preacher and a new doctrine come to jerusalem.!!!!!
he would destroy all things that are fixed,data/l2arctic/TNI/wav/arctic_a0536.wav,TNI,Hindi,F,he would destroy all things that are fixed.!!!!!
he was an enthusiast and a desert dweller,data/l2arctic/TNI/wav/arctic_a0537.wav,TNI,Hindi,F,he was an enthusiast and a dessert dweller.!!!!!
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/TNI/wav/arctic_a0538.wav,TNI,Hindi,F,what pascal glimpsed with the vision of a seer i have lived.!!!!!
i should like to engage just for one whole life in that,data/l2arctic/TNI/wav/arctic_a0539.wav,TNI,Hindi,F,i should like to engage just for one whole life in that.!!!!!
yea so are all the lesser animals of today clean,data/l2arctic/TNI/wav/arctic_a0540.wav,TNI,Hindi,F,"yeah, so are all the lesser animals of today's clean.!!!!!"
the warden with a quart of champagne,data/l2arctic/TNI/wav/arctic_a0541.wav,TNI,Hindi,F,the warden with a quart of champagne.!!!!!
without a doubt some of them have dinner engagements,data/l2arctic/TNI/wav/arctic_a0542.wav,TNI,Hindi,F,"without a doubt, some of them have dinner engagements.!!!!!"
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/TNI/wav/arctic_a0543.wav,TNI,Hindi,F,i had been born with no organic chemical predisposition towards alcohol.!!!!!
the italian rancho was a bachelor establishment,data/l2arctic/TNI/wav/arctic_a0545.wav,TNI,Hindi,F,the italian rank was a bachelor establishment.!!!!!
i lost my balance and pitched head foremost into the ooze,data/l2arctic/TNI/wav/arctic_a0546.wav,TNI,Hindi,F,i lost my balance and pinch head foremost into the ooze.!!!!!
men like joe goose dated existence from drunk to drunk,data/l2arctic/TNI/wav/arctic_a0547.wav,TNI,Hindi,F,men like jo koos dated existence from drunk to drunk.!!!!!
also churches and preachers i had never known,data/l2arctic/TNI/wav/arctic_a0548.wav,TNI,Hindi,F,"also, churches and preachers i had never known.!!!!!"
do you know that we weigh every pound of coal we burn,data/l2arctic/TNI/wav/arctic_a0549.wav,TNI,Hindi,F,do you know what we wear every pound of colwee burn?!!!!!
this also became part of the daily schedule,data/l2arctic/TNI/wav/arctic_a0550.wav,TNI,Hindi,F,this also became part of the daily schedule.!!!!!
all an appearance can know is mirage,data/l2arctic/TNI/wav/arctic_a0551.wav,TNI,Hindi,F,all an experience can know its mirage.!!!!!
yet he dreams he is immortal i argue feebly,data/l2arctic/TNI/wav/arctic_a0552.wav,TNI,Hindi,F,"yet he dreams he is immortal, i argue feebly.!!!!!"
i am writing these lines in honolulu hawaii,data/l2arctic/TNI/wav/arctic_a0553.wav,TNI,Hindi,F,"i'm writing this line in honolulu, hawaii.!!!!!"
jack london waikiki beach honolulu oahu,data/l2arctic/TNI/wav/arctic_a0554.wav,TNI,Hindi,F,"jack london, waikiki beach, honolulu, ohau!!!!!"
jerry was so secure in his nook that he did not roll away,data/l2arctic/TNI/wav/arctic_a0555.wav,TNI,Hindi,F,jerry was so secure in his nook that he did not roll away.!!!!!
why he has bought forty pounds of goods from you already,data/l2arctic/TNI/wav/arctic_a0556.wav,TNI,Hindi,F,why? he has bought 40 pounds of goods from you already.!!!!!
the last refugee had passed,data/l2arctic/TNI/wav/arctic_a0557.wav,TNI,Hindi,F,the last refugee had passed.!!!!!
and the foundation stone of service in his case was obedience,data/l2arctic/TNI/wav/arctic_a0558.wav,TNI,Hindi,F,and the foundation stone of service in his case was obedience.!!!!!
peace be unto you and grace before the lord,data/l2arctic/TNI/wav/arctic_a0559.wav,TNI,Hindi,F,peace be unto you and grace before the lord.!!!!!
his mouth opened words shaped vainly on his lips,data/l2arctic/TNI/wav/arctic_a0560.wav,TNI,Hindi,F,"his mouth opened, words shaped mainly on his lips.!!!!!"
they are not regular oyster pirates nicholas continued,data/l2arctic/TNI/wav/arctic_a0289.wav,TNI,Hindi,F,they are not regular oyster pirates. nicholas continued.!!!!!
he was pressing beyond the limits of his vocabulary,data/l2arctic/TNI/wav/arctic_a0306.wav,TNI,Hindi,F,he was passing beyond the limits of his vocabulary.!!!!!
he considered the victory already his and stepped forward to the meat,data/l2arctic/TNI/wav/arctic_a0323.wav,TNI,Hindi,F,he considered the victory already his and stepped forward to the meet.!!!!!
it was like the beating of hoofs,data/l2arctic/TNI/wav/arctic_a0340.wav,TNI,Hindi,F,it was like the beating of the hoofs.!!!!!
a month passed by and bonanza creek remained quiet,data/l2arctic/TNI/wav/arctic_a0357.wav,TNI,Hindi,F,a month passed by and bonanza creek remained quiet.!!!!!
but lifes worth more than cash she argued,data/l2arctic/TNI/wav/arctic_a0374.wav,TNI,Hindi,F,"but life worth more than cash, she argued.!!!!!"
but he reconciled himself to it by an act of faith,data/l2arctic/TNI/wav/arctic_a0391.wav,TNI,Hindi,F,but he reconciled himself to it by an act of faith.!!!!!
the eldorado emptied its occupants into the street to see the test,data/l2arctic/TNI/wav/arctic_a0408.wav,TNI,Hindi,F,the eldorado emptied his occupants into the street to see the test.
otherwise no restriction is put upon their seafaring,data/l2arctic/TNI/wav/arctic_a0425.wav,TNI,Hindi,F,otherwise no restriction is put upon their seafaring.
you live on an income which your father earned,data/l2arctic/TNI/wav/arctic_a0442.wav,TNI,Hindi,F,you live on an income which your father earned.
theres too much of the schoolboy in me,data/l2arctic/TNI/wav/arctic_a0459.wav,TNI,Hindi,F,there's too much of schoolboy in me.
at this moment i felt a stir at my shoulder,data/l2arctic/TNI/wav/arctic_a0476.wav,TNI,Hindi,F,"at this moment, i felt a stir at my shoulder."
the boy obrien was specially maltreated,data/l2arctic/TNI/wav/arctic_a0493.wav,TNI,Hindi,F,the boy o'brien was specially maltreated.
much more ernest told them of themselves and of his disillusionment,data/l2arctic/TNI/wav/arctic_a0510.wav,TNI,Hindi,F,much more earnest told them of themselves and of his disillusionment.
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/TNI/wav/arctic_a0527.wav,TNI,Hindi,F,the lush vegetation of that sheltered spot make a natural shield.
what the flaming,data/l2arctic/TNI/wav/arctic_a0562.wav,TNI,Hindi,F,what the flaming?
missus mcfees jaws brought together with a snap,data/l2arctic/TNI/wav/arctic_a0563.wav,TNI,Hindi,F,mrs. mcphee's jaws brought together with a snap.
then it is as i said womble announced with finality,data/l2arctic/TNI/wav/arctic_a0564.wav,TNI,Hindi,F,"then it is as said, wommel announced with finality."
with them were indians also three other men,data/l2arctic/TNI/wav/arctic_a0565.wav,TNI,Hindi,F,with them were indians also three other men.
dennins hands were released long enough for him to sign the document,data/l2arctic/TNI/wav/arctic_a0566.wav,TNI,Hindi,F,dennis's hands were leased long enough for him to sign the document.
now irvine was a man of impulse a poet,data/l2arctic/TNI/wav/arctic_a0567.wav,TNI,Hindi,F,"now irvin was a man of impulse, a poet."
he was just bursting with joy joy over what,data/l2arctic/TNI/wav/arctic_a0568.wav,TNI,Hindi,F,he was just bursting with joy. joy over what?
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/TNI/wav/arctic_a0569.wav,TNI,Hindi,F,"at lake lindemann, i had one cano, a very good beechabrow cano."
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/TNI/wav/arctic_a0570.wav,TNI,Hindi,F,behind him lay the thousand years long road across all siberia and russia.
he had forgotten to build a fire and thaw out,data/l2arctic/TNI/wav/arctic_a0571.wav,TNI,Hindi,F,he had forgotten to build a fire and thaw out.
i never saw anything like her in my life,data/l2arctic/TNI/wav/arctic_a0572.wav,TNI,Hindi,F,i never saw anything like her in my life.
there was no law on the yukon save what they made for themselves,data/l2arctic/TNI/wav/arctic_a0573.wav,TNI,Hindi,F,there was no law on the yukon save what they made for themselves.
good business man curly obrien was saying,data/l2arctic/TNI/wav/arctic_a0574.wav,TNI,Hindi,F,"good businessman, curly o'pryne was saying."
there werent any missions and he was the man to know,data/l2arctic/TNI/wav/arctic_a0575.wav,TNI,Hindi,F,there weren't animations and he was the man to know.
and the big persian knew of his existence before he did of hers,data/l2arctic/TNI/wav/arctic_a0576.wav,TNI,Hindi,F,and the big person knew of his existence before he did of hers.
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/TNI/wav/arctic_a0577.wav,TNI,Hindi,F,"once the jews have begun emitting its barbaric rhythms, michael was helpless."
there was the emma louisa,data/l2arctic/TNI/wav/arctic_a0579.wav,TNI,Hindi,F,there was the emma loisa.
this is my fifth voyage,data/l2arctic/TNI/wav/arctic_a0580.wav,TNI,Hindi,F,this is my fifth voyage.
it was this proposition that started the big idea of daughtrys mind,data/l2arctic/TNI/wav/arctic_a0581.wav,TNI,Hindi,F,it was this proposition that started the big idea of dotry's mind.
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/TNI/wav/arctic_a0582.wav,TNI,Hindi,F,tautry elaborated on the counting trick by bringing cocky along.
enjoy it he did but principally for stewards sake,data/l2arctic/TNI/wav/arctic_a0583.wav,TNI,Hindi,F,"enjoy it he did, but principally for steve's sake."
i have long noted your thirst unquenchable,data/l2arctic/TNI/wav/arctic_a0584.wav,TNI,Hindi,F,i have long noted your thirst unquenchable.
wonder if hes a lion dog charles suggested,data/l2arctic/TNI/wav/arctic_a0585.wav,TNI,Hindi,F,wonder if he's a loin dog? charles suggested.
we dont see ourselves as foolish,data/l2arctic/TNI/wav/arctic_a0586.wav,TNI,Hindi,F,we don't see ourselves as foolish.
he had comparatively no advantages at first,data/l2arctic/TNI/wav/arctic_a0587.wav,TNI,Hindi,F,he had comparatively no advantages at first.
he had proved it today with his amateurish and sophomoric production,data/l2arctic/TNI/wav/arctic_a0588.wav,TNI,Hindi,F,he had proved it today with his ametorish and sophomorphic production.
i was sick once typhoid,data/l2arctic/TNI/wav/arctic_a0589.wav,TNI,Hindi,F,"i will sick ones, die for it."
in a way he is my protege,data/l2arctic/TNI/wav/arctic_a0590.wav,TNI,Hindi,F,"in a way, he is my protege."
we are both children together,data/l2arctic/TNI/wav/arctic_a0591.wav,TNI,Hindi,F,we are both children together.
